fighter_id,name,nickname,wins,losses,ties,height_in,weight_lb,reach_in,stance,age,slpm,str_acc_dec,sapm,str_def_dec,td_avg,td_acc_dec,td_def_dec,sub_avg,hist_fights,hist_wins,hist_losses,hist_win_rate,hist_strike_acc,hist_td_acc,hist_sub_avg,hist_ctrl_avg,hist_finish_rate
0b362247806341e5,JP Buys,Young Savage,9,6,0.0,65.0,135.0,67.0,Orthodox,29.0,1.88,0.39,3.02,0.4,1.55,0.25,0.25,2.3,3.0,0.0,3.0,0.0,0.42442279942279937,0.047619047619047616,1.3333333333333333,47.333333333333336,0.5
e8fe9c15d348e778,Daniel Barez,,17,7,0.0,66.0,125.0,66.0,Orthodox,37.0,3.65,0.49,5.95,0.5,1.93,0.28,0.8,0.6,2.0,1.0,1.0,0.5,0.5576923076923077,0.4,0.0,40.5,0.0
61fb8098ccf81c7f,Antonio Arroyo,,9,5,0.0,75.0,185.0,73.0,Orthodox,36.0,2.82,0.66,2.02,0.5,1.14,0.41,0.41,0.2,2.0,0.0,2.0,0.0,0.6714138641043239,1.0,0.0,165.0,0.5
528b071cf3da7c56,Luana Carolina,Dread,11,5,0.0,66.0,135.0,69.0,Orthodox,32.0,4.65,0.51,3.46,0.51,0.3,0.37,0.68,0.6,9.0,6.0,3.0,0.6666666666666666,0.5029020698683885,0.3333333333333333,0.4444444444444444,146.66666666666666,0.16666666666666666
7691a80e6ca3e55b,Jon Madsen,,8,2,0.0,72.0,240.0,72.0,Orthodox,46.0,2.46,0.41,1.18,0.81,1.32,0.71,0.7,0.0,4.0,4.0,0.0,1.0,0.4671638190134968,0.6875,0.0,160.0,0.25
a6bbd3df469c6bea,Roger Gracie,,8,2,0.0,76.0,185.0,79.0,Orthodox,44.0,1.78,0.35,1.79,0.61,1.87,0.53,0.6,1.9,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
bc656db347f31e19,Mike Santiago,,19,12,0.0,70.0,145.0,69.0,Orthodox,36.0,3.44,0.49,3.58,0.36,2.66,0.5,0.53,1.1,2.0,0.0,2.0,0.0,0.5018892877385226,0.6428571428571428,1.0,208.0,0.5
e62b36885ecdac27,Allan Goes,,10,5,2.0,72.0,205.0,,Orthodox,54.0,0.64,0.52,1.35,0.41,1.75,0.4,0.0,2.6,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
7269329bd87eb479,Christophe Leninger,,3,4,0.0,72.0,200.0,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.4,0.0,0.0,0.5
c7be22a47a58365a,Christina Marks,,8,9,0.0,67.0,125.0,69.0,Orthodox,40.0,5.0,0.58,3.0,0.64,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
3c921b1a30fdcbdd,Mike Ricci,The Martian,11,5,0.0,72.0,155.0,76.0,Southpaw,40.0,1.8,0.32,1.64,0.65,0.67,1.0,0.54,0.0,2.0,1.0,1.0,0.5,0.47153284671532847,1.0,0.0,126.0,0.0
b57edace7b647f07,Matt Hobar,The Crowbar,9,3,0.0,70.0,135.0,70.0,Southpaw,39.0,3.23,0.42,4.27,0.52,3.66,0.44,0.5,0.0,2.0,1.0,1.0,0.5,0.4446296296296296,0.6666666666666666,0.0,394.5,0.0
d1a1314976c50bef,Josh Neer,The Dentist,36,16,1.0,71.0,170.0,72.0,Orthodox,42.0,3.29,0.46,3.63,0.58,1.09,0.34,0.46,1.3,14.0,6.0,8.0,0.42857142857142855,0.4329980485348324,0.32407407407407407,0.9285714285714286,139.71428571428572,0.6666666666666666
